,Midterm,Final
S1,19.5,12
S2,26.5,39
S3,33,42
S4,30,29.5
S5,35,38
S6,48.5,49
S7,24.5,30
S8,31.5,42.5
S9,40.5,43
S10,27,32
S11,36.5,46
S12,26,28
S13,42,48
S14,14,20.5
S15,40.5,44
S16,44,43
S17,30,40.5
S18,19,28.5
S19,48,40
S20,9,9
